rank,tag_id,phase,evidence_type,allowed_inputs,model_families,relation_count
328,env.v1_135.visual_privacy,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
329,env.v1_136.acoustic_privacy,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
330,env.v1_137.territorial_definition,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
331,env.v1_138.seating_arrangement,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
332,env.v1_139.collaboration_space_ratio,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
333,env.v1_140.temperature_control,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
334,env.v1_141.lighting_control,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
335,env.v1_142.acoustic_control,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
336,env.v1_143.window_operation,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
337,env.v1_144.workspace_personalization,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
338,env.v1_145.perceived_control,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
339,env.v2a_001.color_palette_hue_saturation_lightness_harmony_beyond_cct,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
340,env.v2a_003.brightness_level_at_eye_vertical_illuminance_vs_task_plane,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
341,env.v2a_004.brightness_gradients_and_brightness_contrast_ratios,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
342,env.v2a_005.daylight_presence_sky_view_and_view_to_outside_content,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
343,env.v2a_006.glare_source_count,phase_4_sensor,sensor,computed;image_2d;image_3d;metadata;sensor,sensor_generic,0
344,env.v2a_007.flicker_temporal_modulation_risk_cues_led_drivers,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
345,env.v2a_008.color_rendering_saturation_rendering,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
346,env.v2a_009.shadow_softness_hardness,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
347,env.v2a_010.lighting_control_cues_dimmers_blinds_task_lights,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
348,env.v2a_011.evening_like_ambience_cues_vs_daytime_like_ambience_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
349,env.v2a_012.visual_privacy_via_lighting_backlit_silhouettes_vs_evenly_lit_faces,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
350,env.v2a_013.high_contrast_spotlight_social_exposure_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
351,env.v2a_014.presence_of_natural_light_patterns,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
352,env.v2a_015.lighting_temperature_mismatch,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
353,env.v2a_067.ceiling_height_and_openness_processing_style,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
354,env.v2a_068.room_scale_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
355,env.v2a_069.enclosure_ratio_wall_to_window_balance,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
356,env.v2a_071.exit_visibility_and_path_to_exit_complexity,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
357,env.v2a_072.blind_corners_vs_transparent_partitions,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
358,env.v2a_073.distance_to_others,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
359,env.v2a_074.wayfinding_legibility_straight_sightlines,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
360,env.v2a_075.spatial_complexity_branching_corridors_vs_simple_loops,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
361,env.v2a_077.barrier_permeability_half_walls_vs_full_walls,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
362,env.v2a_079.seating_prospect_facing_entrance_vs_back_to_entrance,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
363,env.v2a_080.verticality_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
364,env.v2a_081.personal_safety_affordances_lighting_in_corners,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
365,env.v2a_082.curvature_prevalence_vs_sharp_angles,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
366,env.v2a_083.symmetry_and_regularity,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
367,env.v2a_084.fractal_self_similar_edge_statistics,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
368,env.v2a_085.clutter_disorder_object_density_occlusion_surface_coverage,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
369,env.v2a_086.cleanliness_maintenance_stains_damage_wear,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
370,env.v2a_087.color_diversity_and_saturation,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
371,env.v2a_088.texture_density,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
372,env.v2a_089.artwork_density_and_semantic_content,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
373,env.v2a_090.naturalness_of_materials,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
374,env.v2a_091.visual_complexity_gradients,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
375,env.v2a_092.signage_density_informational_load,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
376,env.v2a_093.visual_affordances_for_organization,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
377,env.v2a_094.orderliness_of_lines_alignment,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
378,env.v2a_095.perceptual_mystery_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
379,env.v2a_096.visible_vegetation_quantity_proximity_and_distribution,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
380,env.v2a_097.window_view_content_greenery_sky_water_vs_built_up,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
381,env.v2a_099.blue_space,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
382,env.v2a_100.prospect_to_distant_views,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
383,env.v2a_101.natural_ventilation_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
384,env.v2a_102.natural_sound_sources,phase_4_sensor,sensor,computed;image_2d;image_3d;metadata;sensor,sensor_generic,0
385,env.v2a_103.daylight_nature_coupling,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
386,env.v2a_104.seasonal_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
387,env.v2a_105.animal_presence_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
388,env.v2a_106.sociopetal_seating,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
389,env.v2a_107.density_crowding_proxies_chairs_per_area_people_present_queueing_lines,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
390,env.v2a_108.surveillance_cues_cameras_exposed_workstations_panoramic_visibility,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
391,env.v2a_109.privacy_cues_partitions_doors_curtains,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
392,env.v2a_110.territoriality_markers_name_plates,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
393,env.v2a_111.norm_cues_formal_vs_informal,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
394,env.v2a_112.shared_resource_competition_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;metadata;sensor,sensor_generic,0
395,env.v2a_113.social_mixing_affordances,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
396,env.v2a_114.conflict_overhearing_risk_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
397,env.v2a_115.waiting_time_cues,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
398,env.v2a_116.user_controls_visible_and_accessible_dimmers_blinds_thermostats,phase_4_sensor,sensor,computed;image_2d;image_3d;metadata;sensor,sensor_generic,0
399,env.v2a_117.furniture_adjustability_movable_chairs_tables,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
400,env.v2a_118.choice_richness_multiple_zones,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
401,env.v2a_119.personalization_affordances_pinboards,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
402,env.v2a_120.policy_cues_restricting_control,phase_4_sensor,sensor,computed;image_2d;image_3d;metadata;sensor,sensor_generic,0
403,env.v2a_121.control_over_privacy_doors,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
404,env.v2a_122.control_over_sound_headsets,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
405,env.v2a_123.control_over_thermal_fans,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
406,env.v2a_124.control_over_lighting_task_lamps,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
407,fluency.symmetry,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
408,isovist.area_25d,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
409,isovist.compactness_25d,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
410,isovist.confidence,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
411,science.organized_complexity,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
412,science.organized_complexity_bin,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
413,science.visual_richness,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
414,science.visual_richness_bin,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,sensor_generic,0
415,smell.concentration_dfa_exponent,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,olfactory_sensing,0
416,smell.intensity_rating,phase_4_sensor,sensor,computed;image_2d;image_3d;metadata;sensor,olfactory_sensing,0
417,smell.pleasantness_rating,phase_4_sensor,sensor,computed;image_2d;image_3d;metadata;sensor,olfactory_sensing,0
418,sound.amplitude_fractal_dimension,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,audio_analysis,0
419,sound.noise_color_beta,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,audio_analysis,0
420,sound.one_over_f_slope,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,audio_analysis,0
421,sound.reverberation_rt60,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,audio_analysis,0
422,touch.haptic_fractal_dimension,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,tactile_sensing,0
423,touch.hardness_rating,phase_4_sensor,sensor,computed;image_2d;image_3d;metadata;sensor,tactile_sensing,0
424,touch.surface_roughness_spectrum_slope,phase_4_sensor,sensor,computed;image_2d;image_3d;sensor,tactile_sensing,0
